Removal of putative paralog loci.Paralogs removed for all samples:
Variable 'remove_loci_for_all_samples_with_more_than_this_mean_proportion_of_SNPs' set to: 0.02
Paralogs removed for each sample:
Sample	threshold	#removed	names
S0407sl 	0.02274	15	5599, 5477, 5733, 4942, 6977, 6462, 4796, 6373, 6318, 4G03220, 5G05680, 5G27970, 5G38530, 5G58470, 5G63770
S0412sl 	0.01098	44	5200, 6376, 5816, 5614, 7174, 7313, 6500, 5639, 6955, 6439, 6494, 5018, 6958, 6649, 5430, 5865, 7577, 6462, 5968, 7367, 6036, 6552, 6791, 6373, 6274, 6383, 5355, 5116, 7128, 1G02860, 1G06590, 1G19025, 1G60490, 1G75200, 2G20190, 2G42850, 3G12590, 3G22170, 3G25430, 4G26750, 4G36790, 5G08490, 5G41800, 5G60790
S0416 	0.01829	23	7067, 6779, 6859, 5427, 6649, 6041, 6557, 5843, 1G16070, 1G49820, 2G32040, 3G08950, 3G21420, 4G02030, 4G08150, 4G17140, 4G17380, 4G18060, 5G11040, 5G15400, 5G38530, 5G51690, 5G58470
S0417 	0.01696	31	4471, 5273, 6859, 6026, 5703, 5699, 6098, 5333, 4951, 5721, 1G48090, 1G67120, 1G71220, 2G41700, 2G42490, 3G17810, 3G19970, 3G26700, 3G54790, 3G55580, 4G02030, 4G04350, 4G27640, 5G04480, 5G06120, 5G07590, 5G11560, 5G16280, 5G22750, 5G40820, 5G60980
S0419 	0.00805	18	6378, 4989, 4992, 7029, 5398, 5406, 1G06560, 1G60490, 2G07360, 3G01460, 3G02570, 3G11540, 3G14470, 3G15380, 4G20060, 4G24610, 4G34310, 5G22030
S0420sl 	0.0308	1	
S0421 	0.04389	5	7024, 6373, 6947, 2G26800, 5G58020
S0424 	0.03578	14	6533, 5406, 1G50120, 1G55910, 1G67120, 1G71220, 2G17020, 2G47600, 4G02260, 4G31200, 5G13630, 5G18700, 5G61560, 5G63050
S0427 	0.00558	1	
S0428sl 	0.0256	20	6404, 6298, 6865, 7331, 5634, 6533, 6649, 6462, 4989, 5943, 1G18270, 2G25800, 2G38510, 3G04340, 3G06810, 5G05840, 5G17860, 5G38530, 5G49890, 5G62310
S0430 	0.0149	22	7363, 6405, 6226, 6679, 5123, 6029, 1G06560, 1G68050, 1G68740, 1G70570, 2G13610, 2G26170, 2G31970, 2G34960, 2G40770, 4G30790, 5G13530, 5G22260, 5G22800, 5G30510, 5G53480, 5G63920
S0435 	0.09712	0	
S0436 	0.02784	20	5502, 5264, 6825, 6667, 6958, 5703, 4992, 5968, 7367, 6383, 6717, 6175, 1G12150, 2G16440, 2G20050, 2G31530, 3G22980, 3G27730, 5G06940, 5G14210
S0450 	0.0124	32	7371, 7313, 5639, 6496, 5849, 6128, 6462, 6430, 6854, 5469, 5944, 5554, 6717, 5426, 6379, 6068, 5926, 1G49820, 1G79560, 2G04842, 2G20050, 2G21610, 3G06810, 3G11964, 3G22980, 4G03220, 4G03260, 4G21350, 5G04480, 5G13530, 5G49430, 5G54260
S0464 	0.02359	5	6041, 6454, 1G72500, 2G40840, 4G15420
S0478 	0.01162	30	6016, 6532, 5104, 5273, 5933, 6506, 6026, 5642, 6198, 5699, 6462, 7021, 6563, 5304, 5721, 1G29690, 1G55250, 1G65320, 2G17510, 2G35610, 3G04340, 3G20630, 3G26410, 4G32430, 4G34310, 5G11560, 5G22750, 5G55960, 5G60570, 5G65950
S0509 	0.0395	3	5634, 5032, 2G07360
S0512sl 	0.0117	0	
S0521 	0.11507	0	
S0547 	0.05315	0	
