"Library_ID", "tribe", "genus", "species", "Library_ID2", "sample_in_inclusive_dataset", "sample_in_strict_dataset", "sample_in_superstrict_dataset", "sample_in_superstrict_by_tribe_dataset", "sample_in_ASTRAL_Pro_dataset", "tree_IQ_TREE_supermatrix_concordance_factors", "sample_in_chloroplast_dataset", "collection", "collection_number", "collection_date", "trait_state", "ASTRAL_taxon_occupancy_inclusive", "ASTRAL_taxon_occupancy_strict", "ASTRAL_taxon_occupancy_superstrict", "ASTRAL_taxon_occupancy_superstrict_by_tribe", "ASTRAL_Pro_taxon_occupancy", "type_specimen", "genus_type_species", "calibration", "old_sample", "species_genus_type", "not_species_genus_type", "allele_divergence", "locus_heterozygosity", "nloci", "HybPhaser_bp", "Lineages_Koch_Al_Shehbaz", "Lineages_Franzke_et_al", "Lineages_Nikolov_et_al", "Lineages_unplaced"
"S1318-2", "Camelineae IIIb", "Chrysochamela", "Chrysochamela velutina", "S1318-2", "Y", "Y", "Y", "Y", "Y", "Y", "", "N", "L.1826190", "1888", "A", "1000", "991", "287", "292", "5864", "", "", "", "Y", "", "Chrysochamela velutina", 1.384, 96.08, 1021, 1085445, "I", "I", "I", ""
"S0316sl", "Alyssopsideae", "Dielsiocharis", "Dielsiocharis kotschyi", "S0316sl", "Y", "", "", "", "Y", "Y", "", "", "B 10 0184654", "", "T", "504", NA, NA, NA, "2912", "", "Y", "", "", "Dielsiocharis kotschyi", "", 0.104, 17, 594, 227094, "I", "I", "I", ""
"S1460", "Alyssopsideae", "Alyssopsis", "Alyssopsis mollis", "S1460", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "B 10 0184647", "1974", "T", "1012", "1011", "296", "595", "5674", "", "Y", "", "", "Alyssopsis mollis", "", 0.49, 77.73, 1006, 1133415, "I", "I", "I", ""
"S1235sl", "Alyssopsideae", "Calymmatium", "Calymmatium draboides", "S1235sl", "Y", "Y", "Y", "Y", "Y", "Y", "", "", "Tzvelev 874", "1958", "T", "1007", "1005", "292", "527", "5560", "", "Y", "", "", "Calymmatium draboides", "", 0.044, 23.88, 1026, 1133901, "I", "I", "I", ""
"S0809", "Alyssopsideae", "Olimarabidopsis", "Olimarabidopsis pumila", "S0809", "Y", "Y", "Y", "Y", "Y", "Y", "", "N?", "14719", "1990", "T", "1001", "997", "287", "178", "5930", "", "Y", "", "", "Olimarabidopsis pumila", "", 2.759, 99.61, 1028, 1066074, "I", "I", "I", ""
"S1052sl", "Physarieae", "Paysonia", "Paysonia lescurii", "S1052sl", "Y", "Y", "Y", "Y", "Y", "Y", "", "", "R. Kral 52490", "", "T", "922", "882", "248", "134", "5131", "", "Y", "", "", "Paysonia lescurii", "", 1.1, 71.68, 950, 818094, "I", "I", "I", ""
"S0275", "Physarieae", "Synthlipsis", "Synthlipsis greggii", "S0275", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "Zika 8514", "1985", "T", "957", "940", "270", "243", "5659", "", "Y", "", "", "Synthlipsis greggii", "", 3.691, 96.76, 989, 1077342, "I", "I", "I", ""
"S0383", "Physarieae", "Physaria", "Physaria didymocarpa", "S0383", "Y", "Y", "Y", "Y", "Y", "Y", "", "Y", "B 10 0184670", "1981", "T", "838", "818", "221", "426", "4987", "", "Y", "", "", "Physaria didymocarpa", "", 3.171, 91.1, 876, 979611, "I", "I", "I", ""
"S0903", "Physarieae", "Dithyrea", "Dithyrea californica", "S0903", "Y", "Y", "Y", "Y", "Y", "Y", "", "N?", "WAG.1751139", "1952", "T", "973", "964", "276", "462", "5802", "", "Y", "", "", "Dithyrea californica", "", 0.786, 94.29, 841, 1101267, "I", "I", "I", ""
"S0294", "Physarieae", "Dimorphocarpa", "Dimorphocarpa wislizenii", "S0294", "Y", "Y", "Y", "Y", "Y", "Y", "", "N?", "Reed & Rollins 9383", "1993", "T", "926", "920", "259", "236", "5613", "", "Y", "", "", "Dimorphocarpa wislizenii", "", 2.072, 84.78, 953, 1088445, "I", "I", "I", ""
