"Library_ID", "tribe", "genus", "species", "Library_ID2", "sample_in_inclusive_dataset", "sample_in_strict_dataset", "sample_in_superstrict_dataset", "sample_in_superstrict_by_tribe_dataset", "sample_in_ASTRAL_Pro_dataset", "tree_IQ_TREE_supermatrix_concordance_factors", "sample_in_chloroplast_dataset", "collection", "collection_number", "collection_date", "trait_state", "ASTRAL_taxon_occupancy_inclusive", "ASTRAL_taxon_occupancy_strict", "ASTRAL_taxon_occupancy_superstrict", "ASTRAL_taxon_occupancy_superstrict_by_tribe", "ASTRAL_Pro_taxon_occupancy", "type_specimen", "genus_type_species", "calibration", "old_sample", "species_genus_type", "not_species_genus_type", "allele_divergence", "locus_heterozygosity", "nloci", "HybPhaser_bp", "Lineages_Koch_Al_Shehbaz", "Lineages_Franzke_et_al", "Lineages_Nikolov_et_al", "Lineages_unplaced"
"S1223", "Aethionemeae", "Aethionema", "Aethionema stenopterum", "S1223", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "WAG.1410999", "1843", "S", "886", "845", "247", "459", "5680", "", "", "", "Y", "", "Aethionema stenopterum", 0.415, 76.91, 879, 964179, "basal", "basal", "basal", ""
"S1180", "Aethionemeae", "Aethionema", "Aethionema munzurense", "S1180", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "", "E00199859", "1957", "W, holotype", "907", "877", "257", "541", "5714", "holotype", "", "", "", "", "Aethionema munzurense", 0.249, 64.11, 886, 1011651, "basal", "basal", "basal", ""
"S0735", "Aethionemeae", "Aethionema", "Aethionema saxatile", "S0735", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "5814", "1994", "WT", "933", "895", "273", "238", "5936", "", "Y", "", "", "Aethionema saxatile", "", 0.167, 46.14, 945, 1029714, "basal", "basal", "basal", ""
"S1148", "Aethionemeae", "Aethionema", "Aethionema acarii", "S1148", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "", "EGE-26772", "1993", "S, holotype", "924", "889", "265", "666", "5856", "holotype", "", "", "", "", "Aethionema acarii", 0.672, 80.53, 935, 1033344, "basal", "basal", "basal", ""
"PAFTOL_019361", "Cleomaceae", "Cleome", "Cleome albescens", "PAFTOL_019361", "Y", "Y", "Y", "Y", "Y", "Y", "", "N", "K000370566", "1905", "C", "703", "732", "218", "202", "5013", "", "", "Y", "", "", "Cleome albescens", 0.161, 47.15, 808, 720399, "", "", "", ""
"S1386", "Capparaceae", "Capparicordis", "Capparicordis tweedieana", "S1386", "Y", "", "", "", "Y", "Y", "Y", "N", "L.1851636", "1960", "C", "501", NA, NA, NA, "3319", "", "", "Y", "", "", "Capparicordis tweedieana", 0.651, 55.18, 560, 436806, "", "", "", ""
"S1387", "Capparaceae", "Capparicordis", "Capparicordis crotonoides", "S1387", "Y", "", "", "", "Y", "Y", "Y", "N", "L.1846033", "1980", "C", "501", NA, NA, NA, "3444", "", "", "Y", "", "", "Capparicordis crotonoides", 0.589, 33.5, 588, 453507, "", "", "", ""
"S1389", "Capparaceae", "Capparis", "Capparis tomentosa", "S1389", "Y", "", "", "", "Y", "Y", "Y", "N", "L.3976741", "2013", "C", "373", NA, NA, NA, "2528", "", "", "Y", "", "", "Capparis tomentosa", 1.672, 61.25, 431, 313962, "", "", "", ""
"S1388", "Capparaceae", "Capparis", "Capparis spinosa", "S1388", "Y", "", "", "", "Y", "Y", "Y", "N", "L.1855831", "1973", "C", "329", NA, NA, NA, "2313", "", "", "Y", "", "", "Capparis spinosa", 0.658, 42.46, 398, 217962, "", "", "", ""
"PAFTOL_023515", "Resedaceae", "Forchhammeria", "Forchhammeria pallida", "PAFTOL_023515", "Y", "", "", "", "Y", "Y", "", "Y", "K001275784", "1905", "O", "438", NA, NA, NA, "3231", "", "", "", "", "", "Forchhammeria pallida", 0.145, 32.66, 548, 379038, "", "", "", ""
"PAFTOL_023519", "Gyrostemonaceae", "Tersonia", "Tersonia cyathiflora", "PAFTOL_023519", "Y", "", "", "", "Y", "Y", "", "Y", "", "", "O", "449", NA, NA, NA, "3096", "", "", "", "", "", "Tersonia cyathiflora", 0.847, 84.41, 526, 374646, "", "", "", ""
"S0564sl", "Pentadiplandraceae", "Pentadiplandra", "Pentadiplandra brazzeana", "S0564sl", "Y", "", "", "", "Y", "Y", "", "", "WAG.8002007", "2011", "O", "434", NA, NA, NA, "2892", "", "", "", "", "", "Pentadiplandra brazzeana", 0.303, 61.41, 526, 425604, "", "", "", ""
"PAFTOL_023513", "Tovariaceae", "Tovaria", "Tovaria pendula", "PAFTOL_023513", "Y", "", "", "", "Y", "Y", "Y", "N", "K001275782", "1905", "O", "440", NA, NA, NA, "3079", "", "", "", "", "", "Tovaria pendula", 1.542, 43.42, 562, 296688, "", "", "", ""
"S1398", "Emblingiaceae", "Emblingia", "Emblingia calceoliflora", "S1398", "Y", "", "", "", "Y", "Y", "Y", "N", "L.1851247", "1973", "O", "340", NA, NA, NA, "1993", "", "", "", "", "", "Emblingia calceoliflora", 0.146, 37.62, 412, 261717, "", "", "", ""
"PAFTOL_005410", "Koeberliniaceae", "Koeberlinia", "Koeberlinia spinosa", "PAFTOL_005410", "Y", "", "", "", "Y", "Y", "Y", "", "", "", "O", "192", NA, NA, NA, "930", "", "", "", "", "", "Koeberlinia spinosa", 0.62, 30.04, 243, 137220, "", "", "", ""
"PAFTOL_008053", "Tiganophytaceae", "Tiganophyton", "Tiganophyton karense", "PAFTOL_008053", "Y", "", "", "", "Y", "Y", "Y", "", "", "", "O", "249", NA, NA, NA, "1296", "", "", "", "", "", "Tiganophyton karense", 0.228, 57.14, 315, 188535, "", "", "", ""
"PAFTOL_023503", "Salvadoraceae", "Salvadora", "Salvadora persica", "PAFTOL_023503", "Y", "", "", "", "Y", "Y", "", "", "RB00370741", "", "O", "116", NA, NA, NA, "684", "", "", "", "", "", "Salvadora persica", 0.589, 25.5, 149, 33786, "", "", "", ""
"PAFTOL_005411", "Bataceae", "Batis", "Batis maritima", "PAFTOL_005411", "Y", "", "", "", "Y", "Y", "Y", "", "", "", "O", "65", NA, NA, NA, "389", "", "", "", "", "", "Batis maritima", 0.09, 17.17, 99, 30015, "", "", "", ""
"CRNC", "Limnanthaceae", "Limnanthes", "Limnanthes douglasii", "CRNC", "Y", "Y", "Y", "Y", "Y", "Y", "", "", "", "", "O", "255", "275", "90", "279", "1322", "", "", "", "", "", "Limnanthes douglasii", NA, NA, NA, NA, "", "", "", ""
"PAFTOL_023511", "Setchellanthaceae", "Setchellanthus", "Setchellanthus caeruleus", "PAFTOL_023511", "Y", "", "", "", "Y", "Y", "", "N?", "K000630390", "1905", "O", "290", NA, NA, NA, "1645", "", "", "", "", "", "Setchellanthus caeruleus", 0.252, 49.44, 358, 198336, "", "", "", ""
"S1321", "Sapotaceae", "Synsepalum", "Synsepalum afzelii", "S1321", "Y", "", "", "", "Y", "Y", "Y", "N", "WAG.1829925", "2007", "O", "301", NA, NA, NA, "1689", "", "", "", "", "", "Synsepalum afzelii", 0.363, 56.33, 371, 238494, "", "", "", ""
"PAFTOL_014331", "Malvaceae", "Macrohasseltia", "Macrohasseltia macroterantha", "PAFTOL_014331", "Y", "", "", "", "Y", "Y", "", "Y", "K000591631", "1905", "C", "251", NA, NA, NA, "1292", "", "", "Y", "", "", "Macrohasseltia macroterantha", 3.556, 78.65, 356, 158751, "", "", "", ""
"PAFTOL_023477", "Moringaceae", "Moringa", "Moringa oleifera", "PAFTOL_023477", "Y", "", "", "", "Y", "Y", "", "Y", "RB00591000", "", "O", "225", NA, NA, NA, "1274", "", "", "", "", "", "Moringa oleifera", 0.141, 24.5, 302, 101721, "", "", "", ""
"PAFTOL_019459", "Caricaceae", "Vasconcellea", "Vasconcellea quercifolia", "PAFTOL_019459", "Y", "", "", "", "Y", "Y", "Y", "N", "RB01055668", "1905", "O", "391", NA, NA, NA, "2629", "", "", "", "", "", "Vasconcellea quercifolia", 0.101, 34.33, 501, 347163, "", "", "", ""
"MYZV", "Tropaeolaceae", "Tropaeolum", "Tropaeolum peregrinum", "MYZV", "Y", "Y", "Y", "Y", "Y", "Y", "", "", "", "", "C", "286", "302", "100", "308", "1501", "", "", "Y", "", "", "Tropaeolum peregrinum", NA, NA, NA, NA, "", "", "", ""
"S1384", "Akaniaceae", "Bretschneidera", "Bretschneidera sinensis", "S1384", "Y", "", "", "", "Y", "Y", "Y", "N", "L.2295728", "1989", "C", "266", NA, NA, NA, "1495", "", "", "Y", "", "", "Bretschneidera sinensis", 2.735, 75.72, 346, 187809, "", "", "", ""
"HYZL", "Akaniaceae", "Akania", "Akania bidwillii", "HYZL", "Y", "Y", "Y", "Y", "Y", "Y", "", "", "", "", "C", "289", "303", "103", "311", "1506", "", "", "Y", "", "", "Akania bidwillii", NA, NA, NA, NA, "", "", "", ""
"SRR8528339", "Dontostemoneae", "Dontostemon", "Dontostemon integrifolius", "SRR8528339", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "", "", "T", "697", "695", "189", "505", "4789", "", "Y", "", "", "Dontostemon integrifolius", "", 1.565, 90.74, 713, 878466, "III", "III", "III", ""
"S1188", "Dontostemoneae", "Clausia", "Clausia aprica - eastern group", "S1188", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "12362", "2001", "C", "888", "881", "248", "549", "5497", "", "", "Y", "", "", "Clausia aprica - eastern group", 2.367, 92.76, 912, 985407, "III", "III", "III", ""
"S1187sl", "Dontostemoneae", "Clausia", "Clausia aprica - western group", "S1187sl", "Y", "Y", "Y", "Y", "Y", "Y", "", "", "01-0076-50-00", "1968", "C", "579", "564", "150", "357", "3449", "", "", "Y", "", "", "Clausia aprica - western group", 1.269, 73.1, 617, 476727, "III", "III", "III", ""
"S0761sl", "Shehbazieae", "Shehbazia", "Shehbazia tibetica", "S0761sl", "Y", "", "", "", "Y", "Y", "", "", "8000404", "", "T", "372", NA, NA, NA, "2226", "", "Y", "", "", "Shehbazia tibetica", "", 0.502, 37.25, 408, 244836, "III", "III", "III", ""
"SRR8528370", "Chorisporeae", "Chorispora", "Chorispora tenella", "SRR8528370", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "", "", "T", "699", "688", "190", "205", "4795", "", "Y", "", "", "Chorispora tenella", "", 0.03, 18.18, 715, 877629, "III", "III", "III", ""
"S1539", "Chorisporeae", "Litwinowia", "Litwinowia tenuissima", "S1539", "Y", "Y", "Y", "Y", "Y", "Y", "", "N", "4933741", "1994", "T", "982", "960", "280", "523", "6012", "", "Y", "", "", "Litwinowia tenuissima", "", 0.121, 42.62, 962, 1092636, "III", "III", "III", ""
"S0673", "Chorisporeae", "Diptychocarpus", "Diptychocarpus strictus", "S0673", "Y", "Y", "Y", "Y", "Y", "Y", "", "Y", "TUH35369", "2004", "T", "861", "849", "237", "58", "5205", "", "Y", "", "", "Diptychocarpus strictus", "", 0.114, 19.01, 889, 1011954, "III", "III", "III", ""
"S1246", "Chorisporeae", "Parrya", "Parrya darvazica", "S1246", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "", "Korshinsky 1629", "1897", "W", "872", "863", "245", "744", "5268", "", "", "", "Y", "", "Parrya darvazica", 0.381, 67.87, 856, 943725, "III", "III", "III", ""
"S0894", "Chorisporeae", "Parrya", "Parrya arctica", "S0894", "Y", "Y", "Y", "Y", "Y", "Y", "", "Y?", "L.1855288", "", "T", "860", "845", "237", "420", "5102", "", "Y", "", "", "Parrya arctica", "", 0.419, 77.2, 820, 954063, "III", "III", "III", ""
"S1245", "Chorisporeae", "Parrya", "Parrya maidantalica", "S1245", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "Fedtschenko s.n.", "1897", "S", "949", "935", "266", "805", "5817", "", "", "", "Y", "", "Parrya maidantalica", 0.617, 71.44, 935, 1072611, "III", "III", "III", ""
"S1328sl", "Hesperideae", "Hesperis", "Hesperis matronalis", "S1328sl", "Y", "Y", "Y", "Y", "Y", "Y", "", "", "L.1827168", "1964", "T", "889", "868", "247", "767", "5494", "", "Y", "", "", "Hesperis matronalis", "", 1.486, 87.58, 902, 942552, "III", "III", "III", ""
"S1405", "Buniadeae", "Bunias", "Bunias erucago", "S1405", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "WAG.1749423", "1847", "T", "874", "857", "240", "702", "5351", "", "Y", "", "Y", "Bunias erucago", "", 1.029, 81.39, 876, 950877, "III", "III", "III", ""
"SRR8528354", "Anchonieae", "Matthiola", "Matthiola incana", "SRR8528354", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "", "", "WT", "704", "693", "193", "471", "4826", "", "Y", "", "", "Matthiola incana", "", 0.347, 27.36, 731, 875262, "III", "III", "III", ""
"S0657", "Anchonieae", "Sterigmostemum", "Sterigmostemum incanum", "S0657", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "KM2316", "2005", "T", "835", "830", "240", "458", "5294", "", "Y", "", "", "Sterigmostemum incanum", "", 2.851, 92.98, 841, 957024, "III", "III", "III", ""
"S0899", "Anchonieae", "Petiniotia", "Petiniotia purpurascens", "S0899", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "L.1844261", "1859", "T", "855", "843", "236", "405", "5215", "", "Y", "", "Y", "Petiniotia purpurascens", "", 1.511, 77.33, 860, 995142, "III", "III", "III", ""
"S0656sl", "Anchonieae", "Micrantha", "Micrantha multicaulis", "S0656sl", "Y", "Y", "Y", "Y", "Y", "Y", "", "", "KM1625", "1995", "T", "835", "827", "232", "452", "5163", "", "Y", "", "", "Micrantha multicaulis", "", 0.769, 83.56, 815, 947475, "III", "III", "III", ""
"S1250sl", "Anchonieae", "Microstigma", "Microstigma deflexum", "S1250sl", "Y", "Y", "Y", "Y", "Y", "Y", "", "", "German s.n.", "2003", "T", "926", "912", "253", "325", "5690", "", "Y", "", "", "Microstigma deflexum", "", 0.88, 74.21, 919, 1027044, "III", "III", "III", ""
"SRR8528358", "Anchonieae", "Veselskya", "Veselskya griffithiana", "SRR8528358", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "", "", "T", "708", "702", "192", "409", "4900", "", "Y", "", "", "Veselskya griffithiana", "", 1.462, 89.32, 721, 877200, "III", "III", "III", ""
"S0827", "Anchonieae", "Dvorakia", "Dvorakia alaica", "S0827", "Y", "Y", "Y", "Y", "Y", "Y", "", "N?", "15699", "2004", "S", "815", "810", "223", "138", "4991", "", "", "", "", "", "Dvorakia alaica", 0.446, 60.25, 810, 962811, "III", "III", "III", ""
"S1234", "Anchonieae", "Iskandera", "Iskandera hissarica", "S1234", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "Yunusov 6329", "1962", "WT", "933", "921", "262", "490", "5899", "", "Y", "", "", "Iskandera hissarica", "", 2.085, 84.62, 956, 1059444, "III", "III", "III", ""
"S0478", "Euclidieae", "Leiospora", "Leiospora exscapa", "S0478", "Y", "Y", "Y", "Y", "Y", "Y", "", "", "10410", "", "T", "795", "795", "226", "440", "5032", "", "Y", "", "", "Leiospora exscapa", "", 0.322, 60.82, 781, 946518, "III", "III", "III", ""
"S1232sl", "Euclidieae", "Synstemon", "Synstemon petrovii", "S1232sl", "Y", "Y", "Y", "Y", "Y", "Y", "", "", "M.P. Petrov s.n.", "1958", "T, type", "951", "942", "263", "495", "5799", "type", "Y", "", "", "Synstemon petrovii", "", 1.585, 88.36, 988, 1051383, "III", "III", "III", ""
"S0428sl", "Euclidieae", "Pycnoplinthus", "Pycnoplinthus uniflora", "S0428sl", "Y", "Y", "Y", "Y", "Y", "Y", "", "", "4890785", "1993", "T", "600", "589", "171", "329", "3699", "", "Y", "", "", "Pycnoplinthus uniflora", "", 0.613, 60.43, 609, 579891, "III", "III", "III", ""
"S1368", "Euclidieae", "Anzhenxia", "Anzhenxia yechengnica", "S1368", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "Bartholomew 9569", "2004", "T", "872", "870", "245", "259", "5474", "", "Y", "", "", "Anzhenxia yechengnica", "", 3.019, 91.35, 902, 988698, "III", "III", "III", ""
"S0327", "Euclidieae", "Lachnoloma", "Lachnoloma lehmannii", "S0327", "Y", "Y", "Y", "Y", "Y", "Y", "", "Y", "B 10 0184645", "1987", "T", "835", "824", "232", "209", "5115", "", "Y", "", "", "Lachnoloma lehmannii", "", 0.489, 40.5, 874, 963912, "III", "III", "III", ""
"S1474", "Euclidieae", "Dilophia", "Dilophia salsa", "S1474", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "Tambovtseva & Popova s. n.", "1964", "T", "788", "781", "223", "740", "4926", "", "Y", "", "", "Dilophia salsa", "", 1.883, 95.96, 793, 904224, "III", "III", "III", ""
"S1241", "Euclidieae", "Atelanthera", "Atelanthera perpusilla", "S1241", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "Tzvelev 878", "1958", "T", "928", "920", "259", "807", "6555", "", "Y", "", "", "Atelanthera perpusilla", "", 7.03, 94.69, 998, 1046685, "III", "III", "III", ""
"S1239", "Euclidieae", "Sisymbriopsis", "Sisymbriopsis schugnana", "S1239", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "Ikonnikov 9743", "1958", "T", "965", "950", "271", "814", "5898", "", "Y", "", "", "Sisymbriopsis schugnana", "", 0.593, 45.34, 997, 1086171, "III", "III", "III", ""
"S0417", "Euclidieae", "Christolea", "Christolea crassifolia", "S0417", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "Bartholomew 8237", "2001", "T", "918", "906", "263", "486", "5628", "", "Y", "", "", "Christolea crassifolia", "", 0.41, 72.84, 880, 1050822, "III", "III", "III", ""
"S0963", "Euclidieae", "Braya", "Braya alpina", "S0963", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "W0112433", "1990", "T", "785", "780", "214", "648", "4768", "", "Y", "", "", "Braya alpina", "", 3.099, 97.43, 817, 889008, "III", "III", "III", ""
"S0407sl", "Euclidieae", "Lepidostemon", "Lepidostemon pedunculosus", "S0407sl", "Y", "Y", "Y", "Y", "Y", "Y", "", "", "5731991", "", "T", "758", "744", "213", "409", "4586", "", "Y", "", "", "Lepidostemon pedunculosus", "", 0.413, 44.7, 783, 792306, "III", "III", "III", ""
"S1475", "Euclidieae", "Metashangrilaia", "Metashangrilaia forrestii", "S1475", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "W0112467", "1914", "T", "795", "776", "222", "742", "4818", "", "Y", "", "", "Metashangrilaia forrestii", "", 0.568, 56.79, 810, 824835, "III", "III", "III", ""
"S1365", "Euclidieae", "Rhammatophyllum", "Rhammatophyllum pachyrhizum", "S1365", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "Karamysheva 4057", "1966", "WT", "848", "843", "243", "56", "5152", "", "Y", "", "", "Rhammatophyllum pachyrhizum", "", 1.926, 93.37, 860, 937371, "III", "III", "III", ""
"S0951", "Euclidieae", "Solms-laubachia", "Solms-laubachia pulcherrima", "S0951", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "W0112412", "", "T", "523", "509", "144", "423", "3109", "", "Y", "", "", "Solms-laubachia pulcherrima", "", 0.666, 51.72, 551, 518286, "III", "III", "III", ""
"S0424", "Euclidieae", "Spryginia", "Spryginia winkleri", "S0424", "Y", "Y", "Y", "Y", "Y", "Y", "", "Y?", "5836372", "2003", "T", "646", "641", "170", "352", "4519", "", "Y", "", "", "Spryginia winkleri", "", 1.251, 87.48, 663, 828318, "III", "III", "III", ""
"S0645sl", "Euclidieae", "Tetracme", "Tetracme quadricornis", "S0645sl", "Y", "Y", "Y", "Y", "Y", "Y", "", "", "15902", "2009", "T", "967", "943", "279", "504", "5904", "", "Y", "", "", "Tetracme quadricornis", "", 0.154, 48.58, 951, 1070835, "III", "III", "III", ""
"S0421", "Euclidieae", "Streptoloma", "Streptoloma desertorum", "S0421", "Y", "Y", "Y", "Y", "Y", "Y", "", "N?", "3149466", "1972", "T", "949", "929", "262", "484", "5751", "", "Y", "", "", "Streptoloma desertorum", "", 1.723, 93.69, 966, 1050723, "III", "III", "III", ""
"SRR8528347", "Euclidieae", "Neotorularia", "Neotorularia torulosa", "SRR8528347", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N?", "", "", "T", "699", "688", "190", "641", "4792", "", "Y", "", "", "Neotorularia torulosa", "", 0.203, 22.21, 734, 876360, "III", "III", "III", ""
"S0624", "Euclidieae", "Cymatocarpus", "Cymatocarpus pilosissimus", "S0624", "Y", "Y", "Y", "Y", "Y", "Y", "", "Y", "WAG.0143248", "1976", "T", "877", "860", "248", "464", "5348", "", "Y", "", "", "Cymatocarpus pilosissimus", "", 0.596, 53.58, 881, 973923, "III", "III", "III", ""
"S0278", "Euclidieae", "Catenulina", "Catenulina hedysaroides", "S0278", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "see photo label", "1978", "T", "799", "778", "227", "195", "4935", "", "Y", "", "", "Catenulina hedysaroides", "", 0.297, 27.57, 838, 906372, "III", "III", "III", ""
"S1251", "Euclidieae", "Cryptospora", "Cryptospora falcata", "S1251", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "Smirnov, German & Antonyuk s.n.", "2001", "T", "907", "881", "256", "311", "5552", "", "Y", "", "", "Cryptospora falcata", "", 0.683, 38.77, 944, 1000569, "III", "III", "III", ""
"S0289", "Euclidieae", "Rudolf-kamelinia", "Rudolf-kamelinia korolkowii", "S0289", "Y", "Y", "Y", "Y", "Y", "Y", "", "Y?", "Bartholomew 8220", "2001", "T", "965", "953", "274", "248", "5817", "", "Y", "", "", "Rudolf-kamelinia korolkowii", "", 0.721, 70.05, 995, 1078293, "III", "III", "III", ""
"S1451", "Euclidieae", "Dichasianthus", "Dichasianthus subtilissimus", "S1451", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "Al-Shehbaz 200212", "", "T", "892", "875", "251", "337", "5489", "", "Y", "", "", "Dichasianthus subtilissimus", "", 0.153, 28.09, 922, 969591, "III", "III", "III", ""
"S0320", "Euclidieae", "Euclidium", "Euclidium syriacum", "S0320", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "B 10 0184651", "1988", "T", "840", "829", "243", "212", "5074", "", "Y", "", "", "Euclidium syriacum", "", 0.18, 45.02, 844, 889899, "III", "III", "III", ""
"S0299", "Euclidieae", "Leptaleum", "Leptaleum filifolium", "S0299", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "Al-Shehbaz 7453", "1974", "T", "940", "893", "256", "231", "5622", "", "Y", "", "", "Leptaleum filifolium", "", 0.342, 60.32, 925, 918516, "III", "III", "III", ""
"S1230", "Euclidieae", "Strigosella", "Strigosella cabulica", "S1230", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "Lamond 1444", "1956", "T", "971", "952", "279", "492", "5977", "", "Y", "", "", "Strigosella cabulica", "", 1.686, 89, 1009, 1068606, "III", "III", "III", ""
"SRR8528384", "Arabideae", "Pseudoturritis", "Pseudoturritis turrita", "SRR8528384", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "", "", "T", "719", "725", "198", "218", "4917", "", "Y", "", "", "Pseudoturritis turrita", "", 0.163, 19.84, 746, 922671, "II", "exp.II", "IV", ""
"S0196sl", "Arabideae", "Arcyosperma", "Arcyosperma primulifolium", "S0196sl", "Y", "Y", "Y", "Y", "Y", "Y", "", "", "Polunin, Sykes, and Williams No. 965", "1952", "T", "873", "862", "237", "209", "5312", "", "Y", "", "", "Arcyosperma primulifolium", "", 0.135, 36.91, 886, 760761, "II", "exp.II", "IV", ""
"8009952", "Arabideae", "Pseudodraba", "Pseudodraba hystrix", "8009952", "Y", "", "", "", "Y", "Y", "", "", "8009952", "", "T", "240", NA, NA, NA, "1516", "", "Y", "", "", "Pseudodraba hystrix", "", 0.09, 14.49, 283, 81036, "II", "exp.II", "IV", ""
"S1177", "Arabideae", "Parryodes", "Parryodes axilliflora", "S1177", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "E00170538", "1949", "T, isotype", "897", "894", "255", "672", "5564", "isotype", "Y", "", "", "Parryodes axilliflora", "", 0.31, 26.34, 934, 1018218, "II", "exp.II", "IV", ""
"S0765", "Arabideae", "Baimashania", "Baimashania pulvinata", "S0765", "Y", "Y", "Y", "Y", "Y", "Y", "", "Y", "8000801", "", "T", "791", "791", "228", "131", "4879", "", "Y", "", "", "Baimashania pulvinata", "", 0.148, 51.48, 775, 976737, "II", "exp.II", "IV", ""
"S1462", "Arabideae", "Sinoarabis", "Sinoarabis setosifolia", "S1462", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "8000565", "", "T", "1004", "1002", "293", "592", "6137", "", "Y", "", "", "Sinoarabis setosifolia", "", 0.136, 29.11, 1017, 1125639, "II", "exp.II", "IV", ""
"S0419", "Arabideae", "Acirostrum", "Acirostrum alaschanicum", "S0419", "Y", "Y", "Y", "Y", "Y", "Y", "", "Y", "4505376", "1996", "T", "886", "885", "247", "477", "5462", "", "Y", "", "", "Acirostrum alaschanicum", "", 0.17, 47.44, 860, 1038441, "II", "exp.II", "IV", ""
"S0760", "Arabideae", "Scapiarabis", "Scapiarabis saxicola", "S0760", "Y", "Y", "Y", "Y", "Y", "Y", "", "N", "8000399", "", "T", "966", "965", "272", "243", "5978", "", "Y", "", "", "Scapiarabis saxicola", "", 0.195, 26.21, 992, 1113492, "II", "exp.II", "IV", ""
"S0770", "Arabideae", "Botschantzevia", "Botschantzevia karatavica", "S0770", "Y", "Y", "Y", "Y", "Y", "Y", "", "Y", "8003497", "", "WT", "931", "931", "267", "157", "5760", "", "Y", "", "", "Botschantzevia karatavica", "", 0.232, 61.62, 912, 1093668, "II", "exp.II", "IV", ""
"S0795", "Arabideae", "Dendroarabis", "Dendroarabis fruticulosa", "S0795", "Y", "Y", "Y", "Y", "Y", "Y", "", "N?", "14725", "2003", "WT", "912", "910", "260", "160", "5489", "", "Y", "", "", "Dendroarabis fruticulosa", "", 0.624, 71.35, 904, 1073853, "II", "exp.II", "IV", ""
"S0720", "Arabideae", "Pachyneurum", "Pachyneurum grandiflorum", "S0720", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "23553", "2014", "T", "948", "946", "270", "68", "5721", "", "Y", "", "", "Pachyneurum grandiflorum", "", 0.534, 73.22, 926, 1102809, "II", "exp.II", "IV", ""
"8000070", "Arabideae", "Arabis", "Arabis scabra", "8000070", "Y", "", "", "", "Y", "Y", "", "", "", "", "S", "123", NA, NA, NA, "696", "", "", "", "", "", "Arabis scabra", 0.145, 14.48, 145, 37821, "", "", "IV", ""
"8008999", "Arabideae", "Arabis", "Arabis blepharophylla", "8008999", "Y", "", "", "", "Y", "Y", "", "", "", "", "S", "145", NA, NA, NA, "868", "", "", "", "", "", "Arabis blepharophylla", 0.129, 22.22, 162, 40347, "", "", "IV", ""
"SRR11470320", "Arabideae", "Arabis", "Arabis alpina", "SRR11470320", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "", "", "CT", "798", "784", "217", "683", "4675", "", "Y", "Y", "", "Arabis alpina", "", 0.024, 13.45, 840, 882930, "II", "exp.II", "IV", ""
"S1498", "Arabideae", "Arabis", "Arabis montbretiana", "S1498", "Y", "Y", "Y", "Y", "Y", "Y", "", "N", "WAG.1240684", "1842", "C?", "983", "974", "280", "916", "5776", "", "", "Y", "Y", "", "Arabis montbretiana", 0.281, 51.22, 980, 1082658, "II", "exp.II", "IV", ""
"S1083", "Arabideae", "Arabis", "Arabis kennedyae", "S1083", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "unknown", "2019", "C", "993", "984", "285", "808", "5829", "", "", "Y", "", "", "Arabis kennedyae", 0.266, 24.47, 1042, 1119813, "II", "exp.II", "IV", ""
