Library_ID,Tribe,Genus,Species,Name,Lineages_Koch_Al_Shehbaz,Lineages_Franzke_et_al,Lineages_Nikolov_et_al,[<institution-code>],Subsp_or_var,Registered as,[<collection-code>],biomaterial_provider,voucher,Collection_date,Collection_year,Collector,Identifier,Country,Location,Link to online reference,Type status
S0655-2,Anastaticeae,Lachnocapsa,spathulata,Lachnocapsa spathulata,II,exp.II,,B,,,,Klaus Mummenhoff,B 10 0181495,unknown,,"Kilian, Hein, Kürschner YP 3719",,Yemen,"Socotra, Maàla plateau",,
S0655sl,Anastaticeae,Lachnocapsa,spathulata,Lachnocapsa spathulata,II,exp.II,,B,,,,Klaus Mummenhoff,B 10 0181495,,,"Kilian, Hein, Kürschner YP 3719",,Yemen,"Socotra, Maàla plateau",,
S1486,Anastaticeae,Lachnocapsa,spathulata,Lachnocapsa spathulata,II,exp.II,,B,,,,Klaus Mummenhoff,B 10 0181495,unknown,,"Kilian, Hein, Kürschner YP 3719",,Yemen,"Socotra, Maàla plateau, 12°39`N 53°25`E, 650-700m",,
MK637776,Anastaticeae,Parolinia,ornata,Parolinia ornata,,,,,,,,,,,,,,,,,
S0436,Anastaticeae,Parolinia,ornata,Parolinia ornata,II,exp.II,,MO,,,MO,Ihsan Al-Shehbaz,2012302,25242,1969,G. Kunkel,,Spain,"Canary Islands, Gran Canaria, Barranco de Arguineguin",,
S1234,Anchonieae,Iskandera,hissarica,Iskandera hissarica,III,III,III,LE<RUS>,,,,Dmitry A. German,Yunusov 6329,22855,1962,S. Yunusov,D.A. German,Tajikistan,"Hissar range, southern slope, Takab gorge, to the east of Varmonik, 2500 m a. s. l.",,
KY912030.1,Anchonieae,Matthiola,incana,Matthiola incana,,,III,,,,,,,,,,,,,,
S1215,Anchonieae,Matthiola,incana,Matthiola incana,III,III,III,RMNH,,,WAG,"Kasper P. Hendriks, Roxali Bijmoer, Marnel Scherrenberg, Jan J. Wieringa",WAG.1470125,unknown,,unknown,F.M. Muller,unknown,,https://www.gbif.org/occurrence/2516091012,
S1215-2,Anchonieae,Matthiola,incana,Matthiola incana,III,III,III,RMNH,,,WAG,"Kasper P. Hendriks, Roxali Bijmoer, Marnel Scherrenberg, Jan J. Wieringa",WAG.1470125,unknown,,unknown,F.M. Muller,unknown,,https://www.gbif.org/occurrence/2516091012,
SRR8528354,Anchonieae,Matthiola,incana,Matthiola incana,III,III,III,,,,,,,,,,,,,,
S0770,Arabideae,Botschantzevia,karatavica,Botschantzevia karatavica,II,exp.II,IV,HEID,,,,"Marcus Koch, Peter Sack",8003497,18435,1950,V. Golubkova,,Kazakhstan,Mt. Kara-Tau,,
S0795,Arabideae,Dendroarabis,fruticulosa,Dendroarabis fruticulosa,II,exp.II,IV,OSBU,,,,Barbara Neuffer,14725,37764,2003,Dyatschenko,,Kazakhstan,"East-Kazakhstan oblast, Mts. Zhagaibaily",,
S0954,Brassiceae,Douepea,tortuosa,Douepea tortuosa,II,II,II,W,,,,"Christian Bräuchler, Heimo Rainer",W0112431,??/??/2000,2000,"Siddji, Zaffar Ali",,Pakistan,,https://www.jacq.org/detail.php?ID=1663805,
S0772,Brassiceae,Foleyola,billotii,Foleyola billotii,II,II,II,HEID,,,,"Marcus Koch, Peter Sack",8002200,??/??/1968,1968,C. Gómez-Campo,,Morocco,Marokko: Zagora,,
S0464,Brassiceae,Fortuynia,garcinii,Fortuynia garcinii,II,II,II,TARI,,,,Frederic Lens,asked_Frederic_Sept_2022,tbd,,unknown,,unknown,,,
S0414,Brassiceae,Hemicrambe,fruticulosa,Hemicrambe fruticulosa,II,II,II,MO,,,MO,Ihsan Al-Shehbaz,2240877,26848,1973,,,,,,
S0617,Brassiceae,Hemicrambe,fruticulosa,Hemicrambe fruticulosa,II,II,II,RMNH,,,,"Kasper P. Hendriks, Roxali Bijmoer, Marnel Scherrenberg, Jan J. Wieringa",WAG.0071640,24582,1967,"A.R. Smith, J.J. Lavranos",O. Appel,"Socotra, Yemen",,,
MK637722,Brassiceae,Henophyton,deserti,Henophyton deserti,,,II,,,,,,,,,,,,,,
S0618,Brassiceae,Henophyton,deserti,Henophyton deserti,II,II,II,RMNH,,,,"Kasper P. Hendriks, Roxali Bijmoer, Marnel Scherrenberg, Jan J. Wieringa",WAG.0143209,29319,1980,D. Podlech ,unknown,Algeria,,,
S0618-2,Brassiceae,Henophyton,deserti,Henophyton deserti,II,II,II,RMNH,,,,"Kasper P. Hendriks, Roxali Bijmoer, Marnel Scherrenberg, Jan J. Wieringa",WAG.0143209,29319,1980,D. Podlech ,unknown,Algeria,,,
S1442,Brassiceae,Henophyton,deserti,Henophyton deserti,II,II,II,RMNH,,Oudneya africana,L,"Kasper P. Hendriks, Roxali Bijmoer, Marnel Scherrenberg, Jan J. Wieringa",L.1855276,23134,1963,L. Faurel,"A. Dubuis, L. Faurel",Algeria,"Steppe désertique à El Berd, entre Biskra et Touggourt",https://www.gbif.org/occurrence/2515041993,
S1314,Brassiceae,Moricandia,arvensis,Moricandia arvensis,II,II,II,RMNH,,,WAG,"Kasper P. Hendriks, Roxali Bijmoer, Marnel Scherrenberg, Jan J. Wieringa",WAG.1470250,39643,2008,"J.J. Wieringa, A. Kool",J.J. Wieringa,Italy,"Liguria, Ventimiglia",https://www.gbif.org/occurrence/2517556222,
S0466,Brassiceae,Physorhynchus,brahuicus,Physorhynchus brahuicus,II,II,II,RMNH,,,,"Kasper P. Hendriks, Roxali Bijmoer, Marnel Scherrenberg, Jan J. Wieringa",tbd,tbd,,,,,,,
S1168,Brassiceae,Physorhynchus,brahuicus,Physorhynchus brahuicus,II,II,II,E,,,,"Alan Forrest, Suzanne Cubey",E00372120,28192,1977,"Runemark, Assadi, Sardabi",,Iran,135 km on road from Rask to Chahbahar,https://www.gbif.org/occurrence/574849207,
S0377,Brassiceae,Sinapidendron,frutescens,Sinapidendron frutescens,II,II,II,B,Sinapidendron frutescens subsp. frutescens,,,Robert Vogt,B 10 0184697,35594,1997,"B. Nordt, G. Parolly","B. Nordt, G. Parolly",Madeira,Eira do Serrado,,
S0371,Brassiceae,Vella,pseudocytisus,Vella pseudocytisus,II,II,II,B,Vella pseudocytissus subsp. badalii,,,Robert Vogt,B 10 0013694,31549,1986,"C. Benedi, J. Molero",,Spain,Salida de Villalba Baja,,
S0648,Brassiceae,Zilla,spinosa,Zilla spinosa,II,II,II,OSBU,,,,Barbara Neuffer,88-2--007-10,??/??/1989,1989,,,,,,
S0648-2,Brassiceae,Zilla,spinosa,Zilla spinosa,II,II,II,OSBU,,,,Barbara Neuffer,88-2--007-10,??/??/1989,1989,,,,,,
S0696,Brassiceae,Zilla,spinosa,Zilla spinosa,II,II,II,BR<BEL>,,,,Steven Janssens,BR13137533,,,,,,,,
S1506,Brassiceae,Zilla,spinosa,Zilla spinosa,II,II,II,RMNH,,,WAG,"Kasper P. Hendriks, Roxali Bijmoer, Marnel Scherrenberg, Jan J. Wieringa",WAG.1415644,08/05/1897,1897,L.P.D. Chevallier,F.M. Muller,Algeria,"Saharæ algeriensis, Ghardaïa: in palmeto rara, frequent",https://www.gbif.org/occurrence/2517570268,
S1093,Cremolobeae,Aimara,rollinsii,Aimara rollinsii,II,exp.II,V,CONC,,,,"Oscar Toro, Alicia Marticorena",138611,??/04/1997,1997,"Arroyo, Cavieres & Humaña",,Chile,"El Loa: Conchi A Chuquicamata, Cerro Platero",,
S1093-2,Cremolobeae,Aimara,rollinsii,Aimara rollinsii,II,exp.II,V,CONC,,,,"Oscar Toro, Alicia Marticorena",138611,??/04/1997,1997,"Arroyo, Cavieres & Humaña",,Chile,"El Loa: Conchi A Chuquicamata, Cerro Platero",,
S1093sl,Cremolobeae,Aimara,rollinsii,Aimara rollinsii,II,exp.II,V,CONC,,,,"Oscar Toro, Alicia Marticorena",138611,??/04/1997,1997,"Arroyo, Cavieres & Humaña",,Chile,"El Loa: Conchi A Chuquicamata, Cerro Platero",,
S1487,Cremolobeae,Aimara,rollinsii,Aimara rollinsii,II,exp.II,V,CONC,,,,"Oscar Toro, Alicia Marticorena",138611,??/04/1997,1997,"Arroyo, Cavieres & Humaña",,Chile,"El Loa: Conchi A Chuquicamata, Cerro Platero",,
