Library_ID,Tribe,Genus,Species,Name,Lineages_Koch_Al_Shehbaz,Lineages_Franzke_et_al,Lineages_Nikolov_et_al,[<institution-code>],Subsp_or_var,Registered as,[<collection-code>],biomaterial_provider,voucher,Collection_date,Collection_year,Collector,Identifier,Country,Location,Link to online reference,Type status
S1111,Alysseae,Cuprella,homalocarpa,Cuprella homalocarpa,II,exp.II,IV,P,,,,Vanessa Invernon,P05330155,11410,1931,R. Gombault,I. Al-Shehbaz,Syria,"at Jebel Tenf, desert of Syria",,
LN877382,Arabidopsideae trib. nov.,Arabidopsis,halleri,Arabidopsis halleri,,,I,,,,,,,,,,,,,,
S1381,Arabidopsideae trib. nov.,Arabidopsis,halleri,Arabidopsis halleri,I,I,I,RMNH,,,WAG,"Kasper P. Hendriks, Roxali Bijmoer, Marnel Scherrenberg, Jan J. Wieringa",WAG.1739932,??/06/1853,1853,Noeldecke,F.M. Muller,Germany,Hanover,https://www.gbif.org/occurrence/2516145483,
SRR8528394,Asteae,Asta,schaffneri,Asta schaffneri var. pringlei,II,exp.II,V,,,,,,,,,,,,,,
S1318,Camelineae,Chrysochamela,velutina,Chrysochamela velutina,I,I,I,RMNH,,,L,"Kasper P. Hendriks, Roxali Bijmoer, Marnel Scherrenberg, Jan J. Wieringa",L.1826190,22/03/1888,1888,P.E.E. Sintenis,,Turkey,"Gaziantep, Rum Kale",https://www.gbif.org/occurrence/2514599218,
S1318-2,Camelineae III,Chrysochamela,velutina,Chrysochamela velutina,I,I,I,RMNH,,,L,"Kasper P. Hendriks, Roxali Bijmoer, Marnel Scherrenberg, Jan J. Wieringa",L.1826190,22/03/1888,1888,P.E.E. Sintenis,,Turkey,"Gaziantep, Rum Kale",https://www.gbif.org/occurrence/2514599218,
S1045,Eudemeae,Alshehbazia,friesii,Alshehbazia friesii,II,exp.II,V,MO,,,MO,Ihsan Al-Shehbaz,H. Trinidad HT-2017,unknown,,H. Trinidad,,Peru,,,
NC_028727,Eutremeae,Eutrema,yunnanense,Eutrema yunnanense,,,II,,,,,,,,,,,,,,
S1337,Eutremeae,Eutrema,yunnanense,Eutrema yunnanense,II,exp.II,II,RMNH,,,L,"Kasper P. Hendriks, Roxali Bijmoer, Marnel Scherrenberg, Jan J. Wieringa",L.1827717,??/06/1908,1908,unknown,,China,Yuman,https://www.gbif.org/occurrence/2514116436,
S1282,Heliophileae,Heliophila,laciniata,Heliophila laciniata,II,exp.II,V,NBG,,,,"Pieter Winter, Shaun Pieterse (SANBI)",NBG0168473-0,30190,1982,E.G.H. Oliver,,South Africa,"Komaggas, canyon NE of village",https://www.gbif.org/occurrence/461955351,
MK637727,Hesperideae,Hesperis,persica,Hesperis persica,,,III,,,,,,,,,,,,,,
S1126,Hesperideae,Hesperis,persica,Hesperis persica,III,III,III,TUH,,,,Atena Eslami,TUH35351,38507,2005,"Sh. Zarre, H. Moazzeni, R.H. Fritsch",H. Moazzeni,Iran,"Province E. Azerbaijan Asalem to Khalkhal, 5km to Khalkhal, mountain above Aznav spring",,
S1126-2,Hesperideae,Hesperis,persica,Hesperis persica,III,III,III,TUH,,,,Atena Eslami,TUH35351,38507,2005,"Sh. Zarre, H. Moazzeni, R.H. Fritsch",H. Moazzeni,Iran,"Province E. Azerbaijan Asalem to Khalkhal, 5km to Khalkhal, mountain above Aznav spring",,
S1341,Iberideae II,Teesdalia,coronopifolia,Teesdalia coronopifolia,II,exp.II,,RMNH,,,L,"Kasper P. Hendriks, Roxali Bijmoer, Marnel Scherrenberg, Jan J. Wieringa",L.1844030,26035,1971,E. Berger,,France,"Le Cannet des Maures (Var), a cote de la N 558 pres de la riviere St-Daumas",https://www.gbif.org/occurrence/2514109696,
S1341-2,Iberideae II,Teesdalia,coronopifolia,Teesdalia coronopifolia,II,exp.II,,RMNH,,,L,"Kasper P. Hendriks, Roxali Bijmoer, Marnel Scherrenberg, Jan J. Wieringa",L.1844030,26035,1971,E. Berger,,France,"Le Cannet des Maures (Var), a cote de la N 558 pres de la riviere St-Daumas",https://www.gbif.org/occurrence/2514109696,
S1380,Subularieae,Subularia,monticola,Subularia monticola,,,V,RMNH,,,WAG,"Kasper P. Hendriks, Roxali Bijmoer, Marnel Scherrenberg, Jan J. Wieringa",WAG.1415234,24082,1965,"W.J.J.O. de Wilde, B.E.E. de Wilde-Duyfjes",G.J.H. Amshoff,Ethiopia,"Mt. Boruluccu, beside the road to ticcio; c. 30 km S.E. of Asella",https://www.gbif.org/occurrence/2517803348,
S1380-2,Subularieae,Subularia,monticola,Subularia monticola,,,V,RMNH,,,WAG,"Kasper P. Hendriks, Roxali Bijmoer, Marnel Scherrenberg, Jan J. Wieringa",WAG.1415234,24082,1965,"W.J.J.O. de Wilde, B.E.E. de Wilde-Duyfjes",G.J.H. Amshoff,Ethiopia,"Mt. Boruluccu, beside the road to ticcio; c. 30 km S.E. of Asella",https://www.gbif.org/occurrence/2517803348,
S1127,Thelypodieae,Englerocharis,ancashensis,Englerocharis ancashensis,II,II,II,BSB,,,,Klaus Mummenhoff,"Weigent , et al. 8824",39364,2007,"M. Weigent, H.H. Hilger, A.A. Cano-E.",,Peru,"Department Ancash, province Bolognesi, road from Huallanca to San Marcos via Lago Canrash, north of Lago Canrash",,
S1127-2,Thelypodieae,Englerocharis,ancashensis,Englerocharis ancashensis,II,II,II,BSB,,,,Klaus Mummenhoff,"Weigent , et al. 8824",39364,2007,"M. Weigent, H.H. Hilger, A.A. Cano-E.",,Peru,"Department Ancash, province Bolognesi, road from Huallanca to San Marcos via Lago Canrash, north of Lago Canrash",,
S1125,Thelypodieae,Weberbauera,spathulifolia,Weberbauera spathulifolia,II,II,II,BSB,,,,Klaus Mummenhoff,"Weigend , et al. 8853",39364,2007,"M. Weigend, H.H. Hilger, A.A. Cano-E.",,Peru,"Department Ancash, province Bologneso, road from Huallanca to San Marcos via Lago Canrash, north of Lago Canrash",,
S1083,Arabideae,Arabis,kennedyae,Arabis kennedyae,II,exp.II,IV,HEID,,,,"Marcus Koch, Peter Sack",924602,41029,2012,K. Konstantinou,,Cyprus,Tripilos,,
S1498,Arabideae,Arabis,montbretiana,Arabis montbretiana,II,exp.II,IV,RMNH,,,WAG,"Kasper P. Hendriks, Roxali Bijmoer, Marnel Scherrenberg, Jan J. Wieringa",WAG.1240684,14/03/1842,1842,K.G.T. Kotschy,F.M. Muller,Iran,Pl. Pers. austr. In rupestribus prope pagum Gere abuschir et Schiras,https://www.gbif.org/occurrence/2515877235,
LN877383,Arabidopsideae trib. nov.,Arabidopsis,lyrata,Arabidopsis lyrata,,,I,,,,,,,,,,,,,,
S1082,Arabidopsideae trib. nov.,Arabidopsis,lyrata,Arabidopsis lyrata,I,I,I,HEID,,,,"Marcus Koch, Peter Sack",502625,unknown,,,,,,,
SRR11470311,Arabidopsideae trib. nov.,Arabidopsis,lyrata,Arabidopsis lyrata,I,I,I,,,,,,,,,,,,,,
SRR11470312,Arabidopsideae trib. nov.,Arabidopsis,lyrata,Arabidopsis lyrata,I,I,I,,,,,,,,,,,,,,
SRR11470318,Arabidopsideae trib. nov.,Arabidopsis,lyrata,Arabidopsis lyrata,I,I,I,,,,,,,,,,,,,,
S1077,Biscutelleae,Ricotia,aucheri,Ricotia aucheri,II,exp.II,,HUB,,,,Barı_ Özüdo_ru,Özüdo_ru 3559,41803,2014,"B. Özüdo_ru, E. Çilden",,Turkey,"Malatya: 11 km from Erkenek to Gölba_ı, eroded sides, screes, 1040 m, Latitude: 37.910652 N, Longitude 37.840011 E",,
S1076,Biscutelleae,Ricotia,carnosula,Ricotia carnosula,II,exp.II,,HUB,,,,Barı_ Özüdo_ru,Özüdo_ru 2852,40661,2011,B. Özüdo_ru,,Turkey,"Antalya: Beldibi, opposite of Grand Ring Hotel, under Pinus brutia, 18 m, Latitude: 36.690556 N, Longitude 30.571111 E",,
S1076-2,Biscutelleae,Ricotia,carnosula,Ricotia carnosula,II,exp.II,,HUB,,,,Barı_ Özüdo_ru,Özüdo_ru 2852,40661,2011,B. Özüdo_ru,,Turkey,"Antalya: Beldibi, opposite of Grand Ring Hotel, under Pinus brutia, 18 m, Latitude: 36.690556 N, Longitude 30.571111 E",,
S1075,Biscutelleae,Ricotia,cretica,Ricotia cretica,II,exp.II,,HUB,,,,Barı_ Özüdo_ru,Özüdo_ru 3439a,41419,2013,B. Özüdo_ru,,Greece,"Crete, around Impros, screes, 750 m, Latitude: 35.242861 N, Longitude 24.162797 E",,
S1075-2,Biscutelleae,Ricotia,cretica,Ricotia cretica,II,exp.II,,HUB,,,,Barı_ Özüdo_ru,Özüdo_ru 3439a,41419,2013,B. Özüdo_ru,,Greece,"Crete, around Impros, screes, 750 m, Latitude: 35.242861 N, Longitude 24.162797 E",,
SRR8528399,Biscutelleae,Ricotia,cretica,Ricotia cretica,II,exp.II,,,,,,,,,,,,,,,
S1074,Biscutelleae,Ricotia,sinuata,Ricotia sinuata,II,exp.II,,HUB,,,,Barı_ Özüdo_ru,Özüdo_ru 3501,41782,2014,"B. Özüdo_ru, E. Çilden",,Turkey,"Antalya: Gündo_mu_, around Nara_acı Village, mobile screes, 460-490 m, Latitude 36.782756 N, Longitude 32.103364 E",,
S1188,Dontostemoneae,Clausia,aprica - eastern group,Clausia aprica - eastern group,III,III,III,OSBU,,,,Barbara Neuffer,12362,37061,2001,unknown,,Mongolia,"Tuv, Batsumber",https://www.ncbi.nlm.nih.gov/nuccore/AY546123,
S1187,Dontostemoneae,Clausia,aprica - western group,Clausia aprica - western group,III,III,III,OSBU,,,,Barbara Neuffer,01-0076-50-00,25035,1968,unknown,,Kazakhstan,Kasach Spiridonovka,https://www.ncbi.nlm.nih.gov/nuccore/AY546116,
S1187sl,Dontostemoneae,Clausia,aprica - western group,Clausia aprica - western group,III,III,III,OSBU,,,,Barbara Neuffer,01-0076-50-00,25035,1968,unknown,,Kazakhstan,Kasach Spiridonovka,https://www.ncbi.nlm.nih.gov/nuccore/AY546116,
S1465,Dontostemoneae,Clausia,aprica - western group,Clausia aprica - western group,III,III,III,OSBU,,,,Barbara Neuffer,01-0076-50-00,25035,1968,unknown,,Kazakhstan,Kasach Spiridonovka,https://www.ncbi.nlm.nih.gov/nuccore/AY546116,
NC_009273,Lepidieae,Lepidium,virginicum,Lepidium virginicum,,,I,,,,,,,,,,,,,,
S0547,Lepidieae,Lepidium,virginicum,Lepidium virginicum,I,I,I,RMNH,Lepidium cf. virginicum,,,"Kasper P. Hendriks, Roxali Bijmoer, Marnel Scherrenberg, Jan J. Wieringa",WAG.8003906,38499,2005,"L.J.G. van der Maesen, S. de Haan",Jan J. Wieringa,Peru,,,
S1400,Microlepidieae,Pachycladon,fastigiata,Pachycladon fastigiata,I,I,I,CHR,,,,"Ines Schönberger, Mary Korver",CHR 518460,36181,1999,P.B. Heenan,P.B. Heenan,New Zealand,"Serpetine Creek, NZMS 260: N30 914 919",,
SRR11470315,Arabideae,Arabis,alpina,Arabis alpina,II,exp.II,IV,,,,,,,,,,,,,,
SRR11470316,Arabideae,Arabis,alpina,Arabis alpina,II,exp.II,IV,,,,,,,,,,,,,,
SRR11470320,Arabideae,Arabis,alpina,Arabis alpina,II,exp.II,IV,,,,,,,,,,,,,,
AP000423,Arabidopsideae trib. nov.,Arabidopsis,thaliana,Arabidopsis thaliana,I,I,I,,,,,,,,,,,,,,
S1211,Arabidopsideae trib. nov.,Arabidopsis,thaliana,Arabidopsis thaliana,I,I,I,RMNH,,,L,"Kasper P. Hendriks, Roxali Bijmoer, Marnel Scherrenberg, Jan J. Wieringa",L.1832016,5294,1914,D.I. Litwinow,,Kyrgyzstan,Sary-Kamysh,https://www.gbif.org/occurrence/2514972697,
S1382,Arabidopsideae trib. nov.,Arabidopsis,thaliana,Arabidopsis thaliana,I,I,I,RMNH,,,WAG,"Kasper P. Hendriks, Roxali Bijmoer, Marnel Scherrenberg, Jan J. Wieringa",WAG.1962465,41716,2014,E.L.A.N. Simons,E.L.A.N. Simons,Netherlands,"Gelderland, Wageningen, near Pomona building",https://www.gbif.org/occurrence/2516087204,
MK637660,Thlaspideae,Alliaria,petiolata,Alliaria petiolata,,,II,,,,,,,,,,,,,,
S0649,Thlaspideae,Alliaria,petiolata,Alliaria petiolata,II,exp.II,II,private collection Klaus Mummenhoff,,,Klaus Mummenhoff,Klaus Mummenhoff,KM2288,,,,,,,,
S0736,Thlaspideae,Alliaria,petiolata,Alliaria petiolata,II,exp.II,II,OSBU,,,,Barbara Neuffer,19380,??/??/2008,2008,,,,,,
S0736-2,Thlaspideae,Alliaria,petiolata,Alliaria petiolata,II,exp.II,II,OSBU,,,,Barbara Neuffer,19380,??/??/2008,2008,,,,,,
S1419,Thlaspideae,Alliaria,petiolata,Alliaria petiolata,II,exp.II,II,RMNH,,,L,"Kasper P. Hendriks, Roxali Bijmoer, Marnel Scherrenberg, Jan J. Wieringa",L.4262125,23781,1965,T.W.J. Gadella,T.W.J. Gadella,Netherlands,"Fort Hoofddijk, de Bilt",https://www.gbif.org/occurrence/2515337897,
S0766,Thlaspideae,Didymophysa,aucheri,Didymophysa aucheri,II,exp.II,II,HEID,,,,"Marcus Koch, Peter Sack",8000804,21029,1957,K.H. Rechinger,,Iraq,"Distr. Erbil (Kurdistan), Montes Qandil ad confines Persiae",,
S1335,Thlaspideae,Didymophysa,aucheri,Didymophysa aucheri,II,exp.II,II,RMNH,,,L,"Kasper P. Hendriks, Roxali Bijmoer, Marnel Scherrenberg, Jan J. Wieringa",L.1840407,911,1902,"J.F.N. Bornmüller, A. Bornmüller",O. Appel,Iran,"Elburs occid. in regione alpina montis Tachti Soleiman, ad nives prope Häsartschal",https://www.gbif.org/occurrence/2514124641,
S1214,Thlaspideae,Mummenhoffia,alliacea,Mummenhoffia alliacea,II,exp.II,II,RMNH,,Thlaspi alliaceum,WAG,"Kasper P. Hendriks, Roxali Bijmoer, Marnel Scherrenberg, Jan J. Wieringa",WAG.0100905,37894,2003,"J.J. Wieringa, F.T. Bakker",,Ethiopia,"Semien Mountains, Mt. Bwahit",https://www.gbif.org/occurrence/2515759184,
S1214-2,Thlaspideae,Mummenhoffia,alliacea,Mummenhoffia alliacea,II,exp.II,II,RMNH,,Thlaspi alliaceum,WAG,"Kasper P. Hendriks, Roxali Bijmoer, Marnel Scherrenberg, Jan J. Wieringa",WAG.0100905,37894,2003,"J.J. Wieringa, F.T. Bakker",,Ethiopia,"Semien Mountains, Mt. Bwahit",https://www.gbif.org/occurrence/2515759184,
S1214sl,Thlaspideae,Mummenhoffia,alliacea,Mummenhoffia alliacea,II,exp.II,II,RMNH,,Thlaspi alliaceum,WAG,"Kasper P. Hendriks, Roxali Bijmoer, Marnel Scherrenberg, Jan J. Wieringa",WAG.0100905,37894,2003,"J.J. Wieringa, F.T. Bakker",,Ethiopia,"Semien Mountains, Mt. Bwahit",https://www.gbif.org/occurrence/2515759184,
S1430,Thlaspideae,Mummenhoffia,alliacea,Mummenhoffia alliacea,II,exp.II,II,RMNH,,,L,"Kasper P. Hendriks, Roxali Bijmoer, Marnel Scherrenberg, Jan J. Wieringa",L.1843910,30790,1984,Leidse Botanische Excursie 1984,,Spain,"S Spain, E of Ronda",https://www.gbif.org/occurrence/2515005756,
MK637810,Thlaspideae,Thlaspi,arvense,Thlaspi arvense,,,II,,,,,,,,,,,,,,
S1376,Thlaspideae,Thlaspi,arvense,Thlaspi arvense,II,exp.II,II,RMNH,,,L,"Kasper P. Hendriks, Roxali Bijmoer, Marnel Scherrenberg, Jan J. Wieringa",L.1844745,26870,1973,W. Backhuys,F. Adema,Norway,Lille Vand.,https://www.gbif.org/occurrence/2515004309,
S0776,Lepidieae,Lepidium,arbuscula,Lepidium arbuscula,I,I,I,private collection Klaus Mummenhoff,,,Klaus Mummenhoff,Klaus Mummenhoff,KM945,??/??/1999,1999,,,,,,
S0776-2,Lepidieae,Lepidium,arbuscula,Lepidium arbuscula,I,I,I,private collection Klaus Mummenhoff,,,Klaus Mummenhoff,Klaus Mummenhoff,KM945,??/??/1999,1999,,,,,,
S1561,Lepidieae,Lepidium,arbuscula,Lepidium arbuscula,I,I,I,US,,,,Klaus Mummenhoff,3297605,34394,1994,S.P. Perlman,,USA,"Hawaii, Waianae Mts., Lualualei, slopes of Puu Kaua",https://www.gbif.org/occurrence/1322373913,
S0780,Lepidieae,Lepidium,bidentatum,Lepidium bidentatum,I,I,I,private collection Klaus Mummenhoff,,,Klaus Mummenhoff,Klaus Mummenhoff,KM740,??/??/1990,1990,,,,,,
S0780-2,Lepidieae,Lepidium,bidentatum,Lepidium bidentatum,I,I,I,private collection Klaus Mummenhoff,,,Klaus Mummenhoff,Klaus Mummenhoff,KM740,??/??/1990,1990,,,,,,
S1444,Lepidieae,Lepidium,bidentatum,Lepidium bidentatum,I,I,I,RMNH,,,L,"Kasper P. Hendriks, Roxali Bijmoer, Marnel Scherrenberg, Jan J. Wieringa",L.1838727,25470,1969,"W.R. Philipson, Captain James Cook Bicentenary Expedition",,Cook Islands,Open ground near landing,https://www.gbif.org/occurrence/2514994855,
S0886,Lepidieae,Lepidium,serra,Lepidium serra,I,I,I,private collection Klaus Mummenhoff,,,Klaus Mummenhoff,Klaus Mummenhoff,KM946,34095,1993,"Wood, Perlaren (?)",,"Hawaii, USA",,,
S1399,Microlepidieae,Pachycladon,exilis,Pachycladon exilis,I,I,I,CHR,,,,"Ines Schönberger, Mary Korver",CHR 540573,36838,2000,P.B. Heenan,P.B. Heenan,New Zealand,"Cultivated, Landcare Research experimental nursery, Lincoln",,
S1399-2,Microlepidieae,Pachycladon,exilis,Pachycladon exilis,I,I,I,CHR,,,,"Ines Schönberger, Mary Korver",CHR 540573,36838,2000,P.B. Heenan,P.B. Heenan,New Zealand,"Cultivated, Landcare Research experimental nursery, Lincoln",,
S1399sl,Microlepidieae,Pachycladon,exilis,Pachycladon exilis,I,I,I,CHR,,,,"Ines Schönberger, Mary Korver",CHR 540573,36838,2000,P.B. Heenan,P.B. Heenan,New Zealand,"Cultivated, Landcare Research experimental nursery, Lincoln",,
NC_034367,Aethionemeae,Aethionema,arabicum,Aethionema arabicum,,,basal,,,,,,,,,,,,,,
SRR11470321,Aethionemeae,Aethionema,arabicum,Aethionema arabicum,basal,basal,basal,,,,,,,,,,,,,,
SRR11470323,Aethionemeae,Aethionema,arabicum,Aethionema arabicum,basal,basal,basal,,,,,,,,,,,,,,
SRR11470324,Aethionemeae,Aethionema,arabicum,Aethionema arabicum,basal,basal,basal,,,,,,,,,,,,,,
SRR8528390,Aphragmeae,Aphragmus,bouffordii,Aphragmus bouffordii,II,exp.II,II,,,,,,,,,,,,,,
MK637669,Biscutelleae,Biscutella,laevigata,Biscutella laevigata,,,,,,,,,,,,,,,,,
SRR8528387,Biscutelleae,Biscutella,laevigata,Biscutella laevigata,II,exp.II,,,,,,,,,,,,,,,
FW284,Boechereae,Boechera,stricta,Boechera stricta,I,I,I,,,,,"Donovan Bailey, Nik Hai",,,,,,USA,,,
MK637673,Boechereae,Boechera,stricta,Boechera stricta,,,I,,,,,,,,,,,,,,
SRR11470317,Boechereae,Boechera,stricta,Boechera stricta,I,I,I,,,,,,,,,,,,,,
SRR11470322,Boechereae,Boechera,stricta,Boechera stricta,I,I,I,,,,,,,,,,,,,,
SRR11470325,Boechereae,Boechera,stricta,Boechera stricta,I,I,I,,,,,,,,,,,,,,
LN877376,Buniadeae,Bunias,orientalis,Bunias orientalis,,,III,,,,,,,,,,,,,,
LN877378,Buniadeae,Bunias,orientalis,Bunias orientalis,,,III,,,,,,,,,,,,,,
SRR8528366,Buniadeae,Bunias,orientalis,Bunias orientalis,III,III,III,,,,,,,,,,,,,,
LN877385,Camelineae,Capsella,rubella,Capsella rubella,,,I,,,,,,,,,,,,,,
SRR11470310,Camelineae,Capsella,rubella,Capsella rubella,I,I,I,,,,,,,,,,,,,,
SRR11470314,Camelineae,Capsella,rubella,Capsella rubella,I,I,I,,,,,,,,,,,,,,
SRR11470319,Camelineae,Capsella,rubella,Capsella rubella,I,I,I,,,,,,,,,,,,,,
MK637765,Coluteocarpeae,Noccaea,vesicaria,Noccaea vesicaria,,,II,,,,,,,,,,,,,,
SRR8528348,Coluteocarpeae,Noccaea,vesicaria,Noccaea vesicaria,II,exp.II,II,,,,,,,,,,,,,,
SRR8528396,Conringieae,Conringia,persica,Conringia persica,II,exp.II,II,,,Arabis ottonis-schulzii,,,,,,,,,,,
SRR8528367,Eudemeae,Brayopsis,diapensioides,Brayopsis diapensioides,II,exp.II,V,,,,,,,,,,,,,,
SRR8528337,Halimolobeae,Halimolobos,pubens,Halimolobos pubens,I,I,I,,,,,,,,,,,,,,
SRR8528378,Lepidieae,Lepidium,hirtum,Lepidium hirtum,I,I,I,,,,,,,,,,,,,,
NC_034360.1,Megacarpaeeae,Megacarpaea,delavayi,Megacarpaea delavayi,,,,,,,,,,,,,,,,,
SRR8528351,Megacarpaeeae,Megacarpaea,delavayi,Megacarpaea delavayi,II,exp.II,,,,,,,,,,,,,,,
SRR8528352,Megacarpaeeae,Megacarpaea,delavayi,Megacarpaea delavayi,II,exp.II,,,,,,,,,,,,,,,
MK637758,Megacarpaeeae,Megacarpaea,polyandra,Megacarpaea polyandra,,,,,,,,,,,,,,,,,
SRR8528349,Megacarpaeeae,Megacarpaea,polyandra,Megacarpaea polyandra,II,exp.II,,,,,,,,,,,,,,,
SRR8528360,Notothlaspideae,Notothlaspi,australe,Notothlaspi australe,II,exp.II,V,,,,,,,,,,,,,,
SRR8528362,Physarieae,Physaria,purpurea,Physaria purpurea,I,I,I,,,,,,,,,,,,,,
SRR11470309,Sisymbrieae,Sisymbrium,irio,Sisymbrium irio,II,II,II,,,,,,,,,,,,,,
SRR11470313,Sisymbrieae,Sisymbrium,irio,Sisymbrium irio,II,II,II,,,,,,,,,,,,,,
SRR11470326,Sisymbrieae,Sisymbrium,irio,Sisymbrium irio,II,II,II,,,,,,,,,,,,,,
MK637794,Smelowskieae,Smelowskia,calycina,Smelowskia calycina,,,I,,,,,,,,,,,,,,
SRR8528363,Smelowskieae,Smelowskia,calycina,Smelowskia calycina,I,I,I,,,,,,,,,,,,,,
SRR8528368,Thlaspideae,Pseudocamelina,campylopoda,Pseudocamelina campylopoda,II,exp.II,II,,,,,,,,,,,,,,
MK637671,Boechereae,Boechera,puberula,Boechera puberula,,,I,,,,,,,,,,,,,,
MK637804,Boechereae,Sandbergia,perplexa,Sandbergia perplexa,,,I,,,,,,,,,,,,,,
NA_sn,Boechereae,Sandbergia,perplexa,Sandbergia perplexa,I,I,I,,,,,"Donovan Bailey, Nikolas Hay",,,,,,,,,
EU431223,Outgroup_Caricaceae,Carica,papaya,Carica papaya,,,,,,,,,,,,,,,,,
PAFTOL_023465,Outgroup_Caricaceae,Carica,papaya,Carica papaya,,,,RB,,,,PAFTOL,RB01423498,,,,,,,,
S1397,Outgroup_Caricaceae,Carica,papaya,Carica papaya,,,,RMNH,,,L,"Kasper P. Hendriks, Roxali Bijmoer, Marnel Scherrenberg, Jan J. Wieringa",L.2449852,25959,1971,M.D. Dassanayake,,Sri Lanka,"Cultivated; Peradeniya, Kandy District, Central Province",https://www.gbif.org/occurrence/2516414639,
S1397-2,Outgroup_Caricaceae,Carica,papaya,Carica papaya,,,,RMNH,,,L,"Kasper P. Hendriks, Roxali Bijmoer, Marnel Scherrenberg, Jan J. Wieringa",L.2449852,25959,1971,M.D. Dassanayake,,Sri Lanka,"Cultivated; Peradeniya, Kandy District, Central Province",https://www.gbif.org/occurrence/2516414639,
SRR1766382,Outgroup_Caricaceae,Carica,papaya,Carica papaya,,,,,,,,,,,,,,,,,
PAFTOL_023509,Outgroup_Pentadiplandraceae,Pentadiplandra,brazzeana,Pentadiplandra brazzeana,,,,K,,,,PAFTOL,K000199845,2004,1905,Cheek M.,,,,,
S0564,Outgroup_Pentadiplandraceae,Pentadiplandra,brazzeana,Pentadiplandra brazzeana,,,,RMNH,,,,"Kasper P. Hendriks, Roxali Bijmoer, Marnel Scherrenberg, Jan J. Wieringa",WAG.8002007,40865,2011,"P.J.M. Maas, F.J. Breteler, H. Maas-van de Kamer, R. Niangadouma",F.J. Breteler,Gabon,,,
S0564-2,Outgroup_Pentadiplandraceae,Pentadiplandra,brazzeana,Pentadiplandra brazzeana,,,,RMNH,,,,"Kasper P. Hendriks, Roxali Bijmoer, Marnel Scherrenberg, Jan J. Wieringa",WAG.8002007,40865,2011,"P.J.M. Maas, F.J. Breteler, H. Maas-van de Kamer, R. Niangadouma",F.J. Breteler,Gabon,,,
S0564sl,Outgroup_Pentadiplandraceae,Pentadiplandra,brazzeana,Pentadiplandra brazzeana,,,,RMNH,,,,"Kasper P. Hendriks, Roxali Bijmoer, Marnel Scherrenberg, Jan J. Wieringa",WAG.8002007,40865,2011,"P.J.M. Maas, F.J. Breteler, H. Maas-van de Kamer, R. Niangadouma",F.J. Breteler,Gabon,,,
S1148,Aethionemeae,Aethionema,acarii,Aethionema acarii,basal,basal,basal,EGE,,,,Barı_ Özüdo_ru,EGE-26772,34137,1993,"Y. Gemici, G. Gork",,Turkey,"Kütahya: Gediz, Saphane Da., N. part of summit. Rocky limestone slopes. 1800-2100 m",,Holotype
S0818,Aethionemeae,Aethionema,carneum,Aethionema carneum,basal,basal,basal,OSBU,,,,Barbara Neuffer,05-0309-31-00,??/??/1997,1997,,,,,,
S1226,Aethionemeae,Aethionema,edentulum,Aethionema edentulum,basal,basal,basal,RMNH,,,U,"Kasper P. Hendriks, Roxali Bijmoer, Marnel Scherrenberg, Jan J. Wieringa",U.1162567,20624,1956,unknown,,unknown,,https://www.gbif.org/occurrence/2517370911,
S1154,Aethionemeae,Aethionema,eunomioides,Aethionema eunomioides,basal,basal,basal,HUB,,,,Barı_ Özüdo_ru,Özüdo_ru 3454,12/07/2013,2013,B. Özüdo_ru,,Turkey,"Van: Bahçesaray road, Karapet Pass, rocks, 2770 m",,
S0863,Aethionemeae,Aethionema,froedinii,Aethionema froedinii,basal,basal,basal,BR<BEL>,,,,Steven Janssens,BR29955091,,,,,,,,
S1231,Aethionemeae,Aethionema,heterocarpum,Aethionema heterocarpum,basal,basal,basal,Klaus Mummenhoff personal collection,,,,Klaus Mummenhoff,Mummenhoff 2335,39849,2009,A. Danin,,Israel,"Jerusalem, Mt. Herzl, National Memorial Park",,
S1155,Aethionemeae,Aethionema,lycium,Aethionema lycium,basal,basal,basal,HUB,,,,Barı_ Özüdo_ru,Özüdo_ru 3214,20/07/2011,2011,B. Özüdo_ru,,Turkey,"Antalya: Kemer, Tahtalı Mountain, screes, 2300 m",,
S1179,Aethionemeae,Aethionema,semnanensis,Aethionema semnanensis,basal,basal,basal,E,,,,"Alan Forrest, Suzanne Cubey",E00061148,29380,1980,Moussavi,,Iran,Tehran,https://www.gbif.org/occurrence/574716902,
S0874,Aethionemeae,Aethionema,sintenisii,Aethionema sintenisii,basal,basal,basal,BR<BEL>,,,,Steven Janssens,BR699267,,,,,,,,
S1299,Aethionemeae,Aethionema,spicatum,Aethionema spicatum,basal,basal,basal,W,,,,"Christian Bräuchler, Heimo Rainer",W0112455,??/??/2013,2013,unknown,,unknown,,,
S1223,Aethionemeae,Aethionema,stenopterum,Aethionema stenopterum,basal,basal,basal,RMNH,,,WAG,"Kasper P. Hendriks, Roxali Bijmoer, Marnel Scherrenberg, Jan J. Wieringa",WAG.1410999,08/06/1843,1843,Th. Kotschy,F.M. Muller,Russia,Mount Elbroes,https://www.gbif.org/occurrence/2517571344,
S1300,Aethionemeae,Aethionema,syriacum,Aethionema syriacum,basal,basal,basal,W,,,,"Christian Bräuchler, Heimo Rainer",W0112453,??/??/1907,1907,unknown,,unknown,,,
