Removal of putative paralog loci.Paralogs removed for all samples:
Variable 'remove_loci_for_all_samples_with_more_than_this_mean_proportion_of_SNPs' set to: none
None!
Paralogs removed for each sample:
Sample	threshold	#removed	names
S0303 	0.03301	56	5670, 5206, 6459, 6914, 5220, 5434, 5477, 4527, 6265, 5899, 5335, 6667, 7325, 6570, 7628, 5333, 5554, 6954, 6540, 6295, 1G04910, 1G06950, 1G09010, 1G09340, 1G12150, 1G12330, 1G16570, 1G31360, 1G51720, 2G16880, 2G20050, 2G29050, 2G39450, 2G39830, 2G45500, 2G46370, 3G06810, 3G15380, 3G20630, 3G48150, 3G52200, 4G16570, 4G17370, 4G18830, 4G21770, 4G24190, 4G29810, 5G04710, 5G08280, 5G12900, 5G20350, 5G21930, 5G26570, 5G47040, 5G60600, 5G64270
S0305 	0.19841	0	
S0306 	0.16349	1	
S0308 	0.0318	62	4889, 5578, 5104, 5702, 6050, 5163, 5644, 5842, 6533, 5841, 6226, 5858, 4890, 5188, 5428, 6488, 5893, 5271, 5940, 5944, 5464, 1G04690, 1G12470, 1G25570, 1G27752, 1G50940, 2G32900, 2G37370, 2G39260, 2G39830, 2G40760, 2G43420, 2G46370, 2G46890, 3G04480, 3G06530, 3G09650, 3G10380, 3G16910, 3G18524, 3G48110, 3G54790, 4G09750, 4G11120, 4G17370, 4G18830, 4G21350, 4G21770, 4G22720, 4G23540, 4G29810, 4G36630, 5G02270, 5G03430, 5G12040, 5G12470, 5G20270, 5G47040, 5G53000, 5G55540, 5G61865, 5G64270
S0312 	0.05216	37	4757, 4889, 5404, 5318, 5348, 5280, 6498, 7067, 5802, 6026, 6003, 6785, 5841, 5744, 4890, 7021, 5469, 5551, 1G48880, 1G50200, 1G60070, 2G27590, 2G42750, 2G47600, 3G01150, 3G03210, 3G17830, 3G53180, 3G54690, 4G01880, 4G09750, 4G14940, 4G27790, 5G04360, 5G39040, 5G52850, 5G60020
S0315 	0.19133	2	5G12040, 5G20350
S0316sl 	0.01697	8	6016, 5960, 7111, 5328, 6954, 1G05960, 3G11960, 5G54690
S0317 	0.20099	0	
S0320 	0.01952	51	5404, 6498, 6034, 6864, 5463, 5434, 7572, 5460, 6500, 6496, 5454, 6909, 5644, 5018, 7028, 5430, 5858, 6119, 5188, 4806, 6791, 5893, 5866, 7296, 1G09010, 1G09900, 1G49820, 1G55480, 1G55760, 1G61850, 1G73930, 2G29560, 2G37310, 2G39450, 3G01150, 3G03380, 3G07140, 3G15380, 3G25430, 3G57180, 4G02460, 4G17090, 4G24190, 4G36390, 4G37030, 5G03280, 5G12040, 5G19610, 5G35460, 5G47040, 5G53970
S0322 	0.0683	18	6148, 5138, 6405, 5449, 6401, 6295, 1G47380, 2G20050, 2G35040, 2G39830, 2G40730, 2G47020, 2G47790, 4G17370, 5G19180, 5G49070, 5G61400, 5G64270
S0323 	0.20547	0	
S0326-2 	0.07619	1	
S0327 	0.072	20	6780, 6148, 6450, 6366, 5644, 5858, 5744, 6447, 4806, 5772, 5355, 1G63660, 2G26780, 2G47020, 3G44880, 4G17090, 4G24830, 5G19350, 5G53000, 5G53970
S0329 	0.01596	39	4757, 5404, 5578, 6532, 5318, 5177, 5348, 4932, 6992, 6048, 5434, 5477, 5090, 5899, 6909, 5842, 5642, 5430, 6527, 6036, 5893, 5464, 1G61850, 1G65320, 1G70570, 2G35040, 2G43770, 3G19990, 3G25430, 3G49400, 3G53180, 4G05090, 4G22720, 5G08415, 5G14210, 5G20350, 5G21970, 5G46100, 5G60020
S0331 	0.18089	2	6738, 5G20350
S0335 	0.02433	50	4757, 6780, 5404, 5318, 5064, 6498, 6050, 5463, 5434, 6859, 5347, 6003, 5018, 5842, 7135, 5841, 5858, 5744, 4890, 4806, 5843, 6685, 6791, 4793, 5656, 5853, 5469, 5355, 5464, 6540, 5296, 1G04910, 1G09340, 1G09870, 1G19025, 1G55760, 2G16440, 2G26780, 2G31530, 2G43770, 3G04480, 3G13490, 3G49400, 3G53180, 3G54690, 4G21350, 4G21770, 4G35880, 5G30510, 5G53000
S0345 	0.02581	36	6110, 5404, 5318, 5280, 5138, 5960, 7279, 6050, 5163, 5463, 4724, 6114, 6865, 5899, 6955, 5842, 5744, 6282, 6570, 4806, 7029, 5469, 5919, 5554, 5355, 1G05960, 1G16570, 2G16440, 3G15550, 3G53180, 3G54690, 4G16570, 4G22720, 5G26570, 5G46220, 5G53970
S0346 	0.10378	34	4757, 4889, 5318, 6050, 5910, 6882, 6859, 5945, 6003, 5841, 5430, 5958, 5744, 4890, 6430, 5469, 5919, 5464, 4848, 5296, 1G05910, 1G10330, 1G55910, 1G66830, 2G26200, 2G31530, 3G17640, 3G25430, 3G53180, 3G54690, 4G00550, 5G11390, 5G58410, 5G60450
S0355 	0.06672	17	1G06950, 1G09340, 2G20050, 2G47020, 4G00910, 4G17370, 4G18830, 4G29810, 5G02270, 5G04710, 5G19180, 5G20350, 5G21930, 5G56580, 5G61400, 5G61865, 5G64270
S0371 	0.2002	1	
S0373 	0.18092	2	3G17640, 5G57800
S0376 	0.01247	63	6620, 5366, 5318, 5348, 5960, 6034, 5434, 5477, 5460, 6238, 6500, 6164, 6955, 6405, 5328, 5936, 5744, 6483, 6886, 7628, 6064, 5354, 4793, 5940, 5469, 5464, 5721, 5296, 1G05960, 1G12470, 1G47380, 1G49970, 1G60490, 1G69860, 2G20050, 2G32590, 2G36840, 2G38770, 2G40890, 2G47020, 3G06483, 3G19810, 3G27820, 3G53180, 3G54690, 3G55580, 3G60830, 4G02680, 4G23940, 4G30720, 4G31770, 5G03070, 5G08030, 5G13030, 5G13420, 5G21970, 5G27970, 5G39830, 5G40405, 5G40740, 5G44000, 5G52280, 5G54570
S0377 	0.19887	0	
S0380 	0.20145	0	
S0381 	0.02331	59	4757, 6933, 5318, 6498, 5702, 6914, 6979, 6882, 6779, 4527, 5945, 6003, 5842, 7135, 6531, 5299, 5936, 4890, 7029, 5620, 6733, 4793, 6488, 5949, 5853, 5469, 6284, 5919, 5554, 5464, 6954, 5406, 5721, 1G12470, 1G27760, 1G31360, 1G50200, 1G50940, 1G52520, 1G68050, 2G15620, 2G16440, 2G31530, 2G43770, 3G06920, 3G26090, 3G48150, 3G53180, 3G54690, 4G01730, 4G21350, 5G14700, 5G17860, 5G18525, 5G45900, 5G46220, 5G53000, 5G56580, 5G67430
S0383 	0.14935	19	6110, 5958, 6274, 1G09870, 1G25500, 1G63660, 2G46370, 3G06270, 5G04550, 5G16310, 5G18580, 5G19350, 5G19640, 5G20270, 5G20890, 5G36880, 5G56220, 5G57800, 5G63050
S0384 	0.0368	50	4757, 6620, 5318, 6420, 6498, 5702, 5273, 5913, 5463, 6652, 6496, 6164, 6003, 5842, 6483, 6447, 5791, 4793, 5469, 5822, 6284, 5464, 1G05850, 1G11915, 2G26200, 2G37310, 2G37320, 2G39620, 2G40860, 2G42850, 3G05350, 3G06483, 3G06880, 3G27820, 3G29320, 3G53180, 3G54690, 3G56310, 4G02460, 4G16420, 4G21350, 4G31540, 5G16420, 5G19610, 5G19640, 5G40405, 5G59900, 5G60600, 5G63050, 5G63410
S0385 	0.17491	1	
S0400 	0.01509	62	5404, 5816, 6393, 5318, 5280, 6498, 5913, 6048, 5463, 5434, 5477, 6639, 5990, 6026, 5357, 5899, 6003, 5821, 6198, 6565, 5449, 6875, 6282, 6320, 4989, 5398, 5791, 5354, 4793, 5469, 6947, 4951, 5464, 1G33410, 1G55250, 1G55760, 1G58120, 1G60490, 1G70820, 2G43770, 3G03380, 3G04480, 3G11460, 3G19990, 3G53180, 3G54690, 3G55070, 4G17830, 4G18950, 4G21770, 4G24620, 4G24830, 4G30490, 5G19690, 5G20350, 5G24240, 5G25230, 5G26820, 5G39500, 5G47780, 5G49430, 5G51690
S0403sl 	0.02063	98	5200, 5318, 7174, 6498, 5138, 6050, 5434, 5460, 6238, 5945, 5899, 5894, 5347, 6003, 7331, 6128, 4890, 6036, 5428, 5853, 5857, 6507, 5296, 1G02970, 1G04910, 1G05850, 1G10780, 1G20560, 1G49970, 1G57770, 1G68570, 1G70260, 1G72500, 1G75200, 1G78280, 1G80410, 2G35610, 2G35720, 2G38280, 2G39730, 2G40890, 2G42490, 2G43770, 2G46890, 3G01100, 3G01670, 3G02570, 3G07140, 3G10030, 3G10230, 3G12280, 3G12610, 3G16910, 3G17900, 3G18290, 3G20240, 3G20260, 3G47400, 3G52970, 3G53180, 3G56370, 4G00550, 4G16144, 4G17090, 4G18340, 4G20050, 4G24190, 4G24610, 4G24830, 4G28220, 4G29310, 4G30790, 4G31540, 4G33210, 4G34260, 5G01360, 5G02480, 5G04930, 5G08030, 5G12900, 5G13020, 5G13030, 5G14950, 5G17230, 5G18670, 5G20270, 5G20350, 5G20890, 5G21970, 5G22330, 5G22450, 5G27970, 5G30510, 5G35460, 5G46070, 5G58230, 5G58430, 5G60450
